통신망,데이터구분,요금제명,가격,할인기간,할인후가격,데이터(GB),QoS(Mbps),통화(분),문자(건)
LG,LTE,"[KG모바일 스페셜] 통화, 데이터 마음대로 7GB+",12100,7개월 할인 요금제,24200,7,1,기본제공,기본제공
LG,LTE,"[KG모바일 스페셜] 통화, 데이터 마음대로 10GB+",16060,7개월 할인 요금제,26400,10,1,기본제공,기본제공
LG,5G,[KG모바일 스페셜] 데이터 마음대로 (15GB+/100분),15070,7개월 할인 요금제,33000,15,3,100,100
LG,5G,[KG모바일 스페셜] 데이터 마음대로 (15GB+/300분),16060,7개월 할인 요금제,35200,15,3,300,300
LG,LTE,"[KG모바일 스페셜] 통화, 데이터 마음대로 11GB+",18040,7개월 할인 요금제,41800,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,"[KG모바일 스페셜] 통화, 데이터 마음대로 100GB+",23100,7개월 할인 요금제,47300,100,5,기본제공,기본제공
LG,LTE,"[KG모바일 스페셜] 통화, 데이터 마음대로 Pro",23100,7개월 할인 요금제,47300,150(일 5GB),5,기본제공,기본제공
LG,LTE,"[모빌카드 스페셜] 통화, 데이터 마음대로 7GB+",12100,7개월 할인 요금제,24200,7,1,기본제공,기본제공
LG,LTE,"[모빌카드 스페셜] 통화, 데이터 마음대로 10GB+",16060,7개월 할인 요금제,26400,10,1,기본제공,기본제공
LG,5G,[모빌카드 스페셜] 데이터 마음대로 (15GB+/100분),15070,7개월 할인 요금제,33000,15,3,100,100
LG,5G,[모빌카드 스페셜] 데이터 마음대로 (15GB+/300분),16060,7개월 할인 요금제,35200,15,3,300,300
LG,LTE,"[모빌카드 스페셜] 통화, 데이터 마음대로 11GB+",18040,7개월 할인 요금제,41800,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,"[모빌카드 스페셜] 통화, 데이터 마음대로 100GB+",23100,7개월 할인 요금제,47300,100,5,기본제공,기본제공
LG,LTE,"[모빌카드 스페셜] 통화, 데이터 마음대로 Pro",23100,7개월 할인 요금제,47300,150(일 5GB),5,기본제공,기본제공
LG,LTE,"[일반] 통화, 데이터 마음대로 7GB+_24개월",16060,24개월 할인 요금,24200,7,1,기본제공,기본제공
LG,5G,[일반] 데이터 마음대로 (15GB+/100분)_24개월,21010,24개월 할인 요금,33000,15,3,100,100
LG,5G,[일반] 데이터 마음대로 (15GB+/300분)_24개월,22000,24개월 할인 요금,35200,15,3,300,300
LG,LTE,"[일반] 통화, 데이터 마음대로 11GB+_24개월",24090,24개월 할인 요금,41800,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,"[일반] 통화, 데이터 마음대로 100GB+_24개월",27060,24개월 할인 요금,47300,100,5,기본제공,기본제공
LG,LTE,"[일반] 통화, 데이터 마음대로 Pro_24개월",27060,24개월 할인 요금,47300,150(일 5GB),5,기본제공,기본제공
LG,LTE,"[평생할인] 통화, 데이터 마음대로 7GB+",14190,평생할인 요금제,24200,7,1,기본제공,기본제공
LG,5G,[평생할인] 데이터 마음대로 (15GB+/100분),21780,평생할인 요금제,33000,15,3,100,100
LG,5G,[평생할인] 데이터 마음대로 (15GB+/300분),22770,평생할인 요금제,35200,15,3,300,300
LG,LTE,"[평생할인] 통화, 데이터 마음대로 11GB+",26400,평생할인 요금제,41800,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,"[평생할인] 통화, 데이터 마음대로 100GB+",30800,평생할인 요금제,47300,100,5,기본제공,기본제공
LG,LTE,"[평생할인] 통화, 데이터 마음대로 Pro",30800,평생할인 요금제,47300,150(일 5GB),5,기본제공,기본제공
