통신망,데이터구분,요금제명,가격,할인기간,할인후가격,데이터(GB),QoS(Mbps),통화(분),문자(건)
LG,LTE,모나500분4.5G,550,12개월간 할인,27500,4.5,-,500,200
LG,LTE,모나500분6G,550,12개월간 할인,29700,6,-,500,200
LG,LTE,모나100분6.6G안심1,550,6개월간 할인,25300,6.6,1,100,100
LG,LTE,모나400분4.5G,1100,평생 할인,25300,4.5,-,400,200
LG,LTE,모나400분11G,1650,6개월간 할인,35200,11,-,400,200
LG,LTE,모나120분4.5G,1870,평생 할인,18700,4.5,-,120,100
LG,LTE,모나300분4.5G,1980,평생 할인,23100,4.5,-,300,200
LG,LTE,모나500분8G,2200,12개월간 할인,33000,8,-,500,200
LG,5G,5G_모나120분6G,2530,평생 할인,20900,6,-,120,100
LG,LTE,모나500분1G,2640,평생 할인,18700,1,-,500,200
LG,5G,5G_모나500분4.5G,2640,평생 할인,14300,4.5,-,500,200
LG,LTE,모나300분10G안심1,2970,10개월간 할인,38500,10,1,300,200
LG,LTE,모나기본4.5G안심1+,2970,10개월간 할인,29700,4.5,1,기본제공,기본제공
LG,LTE,모나300분6G안심1,2970,12개월간 할인,29700,6,1,300,200
LG,5G,5G_모나300분3G,2970,평생 할인,20900,3,-,300,200
LG,LTE,모나400분8G,2970,12개월간 할인,30800,8,-,400,200
LG,5G,5G_모나210분6G,2970,평생 할인,23100,6,-,210,100
LG,LTE,(복지)모나120분1.5G,3300,,3300,1.5,-,120,100
LG,5G,5G_모나500분6G,3300,평생 할인,16500,6,-,500,200
LG,LTE,더중앙+_300분4.5GB,3300,평생 할인,23100,4.5,-,300,200
LG,LTE,신한카드_300분4.5G,3300,평생 할인,19800,4.5,-,300,200
LG,LTE,모나300분6G,3410,평생 할인,25300,6,-,300,200
LG,5G,5G_모나300분6G,3520,평생 할인,25300,6,-,300,200
LG,LTE,모나안심차단(120분1GB),3630,평생 할인,8800,1,-,120,100
LG,LTE,카페_300분4.5G,3630,평생 할인,18700,4.5,-,300,100
LG,LTE,모나400분6G,3960,평생 할인,27500,6,-,400,200
LG,LTE,모나안심차단(210분3GB),4400,평생 할인,8800,3,-,210,100
LG,5G,5G_모나120분11G,4620,평생 할인,28600,11,-,120,100
LG,LTE,모나120분8G,4620,평생 할인,24200,8,-,120,100
LG,LTE,모나안심차단(300분4.5GB),4950,평생 할인,12100,4.5,-,300,100
LG,LTE,모나안심차단(120분4GB),5280,평생 할인,9900,4,-,120,100
LG,LTE,모나300분8G,5280,평생 할인,28600,8,-,300,200
LG,LTE,모나300분4.5G안심1,5390,평생 할인,27500,4.5,1,300,200
LG,LTE,모나500분4.5G안심1,5500,평생 할인,33000,4.5,1,500,200
LG,LTE,신한카드_500분6G,5500,평생 할인,19800,6,-,500,200
LG,LTE,교보sam_500분6G,5940,평생 할인,29700,6,-,500,200
LG,5G,5G_모나500분8G,5940,평생 할인,19800,8,-,500,200
LG,5G,5G_모나500분11G,5940,평생 할인,24200,11,-,500,200
LG,LTE,모나120분11G,5940,평생 할인,28600,11,-,120,100
LG,LTE,모나안심차단(210분5GB),5940,평생 할인,13200,5,-,210,100
LG,LTE,모나200분5G안심1,6380,평생 할인,24200,5,1,200,100
LG,LTE,편의점_210분6G,6490,평생 할인,17600,6,-,210,100
LG,5G,5G_모나210분11G,6600,평생 할인,22880,11,-,210,100
LG,LTE,모나안심차단(300분6GB),6600,평생 할인,15400,6,-,300,100
LG,LTE,"모나1,000분10G",6600,평생 할인,33000,10,-,1000,100
LG,LTE,모나300분11G,6600,평생 할인,33000,11,-,300,200
LG,5G,5G_모나500분10G,6820,평생 할인,22000,10,-,500,200
LG,LTE,패스트푸드_500분6G,6930,평생 할인,24200,6,-,500,200
LG,5G,5G_모나300분11G,7040,평생 할인,33000,11,-,300,200
