통신망,데이터구분,요금제명,가격,할인기간,할인후가격,데이터(GB),QoS(Mbps),통화(분),문자(건)
LG,LTE,LTE (7GB+/통화기본),15900,평생할인,39800,7,1,기본제공,기본제공
LG,LTE,데이터플러스 (7GB+/통화기본),17500,평생할인,41400,17(7+10),1,기본제공,기본제공
LG,LTE,LTE 스페셜,32990,평생할인,49390,71(11GB+일 2GB),3,기본제공,기본제공
LG,5G,다성비 (1.5GB/통화기본) [매월 다이소 5천원],8900,평생할인,26000,1.5,,기본제공,기본제공
LG,LTE,LTE 스페셜 플러스,38200,평생할인,46600,100,5,기본제공,기본제공
LG,5G,5G (15GB+/300분),16900,평생할인,44000,15,1,300,300
LG,LTE,플러스알파 (7GB+/통화기본),17500,평생할인,41400,7,1,기본제공,기본제공
LG,LTE,LTE (500MB/60분),3300,평생할인,7400,500MB,,60,50
LG,LTE,LTE (1GB+/통화기본),9900,평생할인,25300,1,1,기본제공,기본제공
LG,5G,LTE (1.5GB/통화기본),5900,평생할인,23000,1.5,,기본제공,기본제공
LG,LTE,LTE (1GB/60분),3900,평생할인,10500,1,,60,100
LG,5G,LTE (15GB+/통화기본),20900,평생할인,48400,15,1,기본제공,기본제공
LG,LTE,데이터차단 (0GB/통화기본),4900,평생할인,13000,미제공,,기본제공,기본제공
LG,LTE,플러스알파 (71GB+/통화기본),34600,평생할인,51000,71(11GB+일 2GB),3,기본제공,기본제공
LG,5G,플러스알파 (15GB+/통화기본),22500,평생할인,50000,15,1,기본제공,기본제공
LG,LTE,LTE (10GB+/통화기본),18900,평생할인,41950,10,1,기본제공,기본제공
LG,LTE,LTE (10GB/100분),9900,평생할인,32400,10,,100,100
LG,LTE,티머니 K-패스(17GB+/통화기본),18500,평생할인,28400,17(7+10),1,기본제공,기본제공
LG,LTE,LTE (4GB/통화기본),7500,평생할인,33500,4,,기본제공,기본제공
LG,5G,다이소 (1.5GB/150분),5000,평생할인,14900,1.5,,150,100
LG,5G,데이터플러스 (15GB+/통화기본),21900,평생할인,50000,25(15+10),1,기본제공,기본제공
LG,5G,5G (10GB/통화기본),12500,평생할인,35200,10,,기본제공,기본제공
LG,LTE,LTE (1GB+/100분),7900,평생할인,17800,1,1,100,100
LG,LTE,티머니 K-패스 (71GB+/통화기본),33990,평생할인,43890,71(11GB+일 2GB),3,기본제공,기본제공
LG,5G,5G (95GB+/통화기본),40900,평생할인,53000,95,3,기본제공,기본제공
LG,5G,LTE (4.5GB+/통화기본),13900,평생할인,36600,4.5,1,기본제공,기본제공
LG,LTE,LTE (6GB/통화기본),9500,평생할인,35000,6,,기본제공,기본제공
LG,5G,5G (2GB/통화기본),6000,평생할인,23800,2,,기본제공,기본제공
LG,5G,LTE (15GB+/100분),25250,평생할인,47300,15,3,100,100
LG,5G,LTE (1.5GB/150분),4900,평생할인,12100,1.5,,150,100
LG,LTE,데이터만 20GB,11880,평생할인,14300,20,,미제공,미제공
LG,LTE,플러스알파 (1GB+/통화기본),11500,평생할인,26900,1,1,기본제공,기본제공
LG,5G,5G (125GB+/통화기본),42100,평생할인,54500,125,5,기본제공,기본제공
LG,LTE,티머니 K-패스(1GB+/통화기본),10900,평생할인,20800,1,1,기본제공,기본제공
LG,5G,5G (10GB/200분),9900,평생할인,30800,10,,200,100
LG,5G,GS25 5G (10GB/200분),13500,평생할인,32800,10,,200,100
LG,LTE,LTE (9GB/3000분),12500,평생할인,37800,9,,3000,1000
LG,LTE,데이터플러스 (10GB+/통화기본),19900,평생할인,43550,20(10+10),1,기본제공,기본제공
LG,5G,틴에이저 (4.5GB+/통화기본),12900,평생할인,32700,4.5,1,기본제공,기본제공
LG,5G,5G (50GB+/통화기본),37850,평생할인,50000,50,1,기본제공,기본제공
LG,5G,5G (80GB+/통화기본),39700,평생할인,52000,80,1,기본제공,기본제공
LG,LTE,LTE (1GB+/통화기본) [더알뜰플랜],8400,평생할인,10600,1,1,기본제공,기본제공
LG,5G,LTE (2.5GB/200분),6500,평생할인,20900,2.5,,200,100
LG,5G,5G 스페셜 프로,50500,평생할인,61900,180,10,기본제공,기본제공
LG,5G,LTE (15GB+/300분),27450,평생할인,55000,15,3,300,300
LG,5G,5G (3GB/통화기본),6900,평생할인,24400,3,,기본제공,기본제공
LG,5G,LTE (2.5GB/통화기본),6900,평생할인,29000,2.5,,기본제공,기본제공
LG,LTE,LTE (3GB+/100분),9500,평생할인,26000,3,1,100,100
LG,LTE,LTE 스페셜 프로,38200,평생할인,45900,150(일 5GB),5,기본제공,기본제공
LG,LTE,다성비 (17GB+/통화기본) [매월 다이소 5천원],19400,평생할인,43300,17(7+10),1,기본제공,기본제공
LG,5G,LTE (5GB+/100분),11500,평생할인,23500,5,1,100,100
LG,LTE,LTE 스페셜 플러스 [더알뜰플랜2],38200,평생할인,40400,100,5,기본제공,기본제공
LG,LTE,다성비 (1GB+/통화기본) [매월 다이소 5천원],10900,평생할인,26300,1,1,기본제공,기본제공
LG,5G,데이터플러스 (15GB+/100분),26900,평생할인,51550,25(15+10),3,100,100
LG,LTE,이츠 (7GB+/통화기본),18400,평생할인,30300,7,1,기본제공,기본제공
LG,LTE,틴에이저 (1GB+/100분),6900,평생할인,17900,1,1,100,100
LG,LTE,틴에이저 (1GB+/통화기본),8900,평생할인,25400,1,1,기본제공,기본제공
LG,5G,5G (15GB/200분),13900,평생할인,37000,15,,200,100
LG,5G,다성비 (25GB+/통화기본) [매월 다이소 5천원],23800,평생할인,51900,25(15+10),1,기본제공,기본제공
LG,LTE,다성비 (7GB+/통화기본) [매월 다이소 5천원],17800,평생할인,41700,7,1,기본제공,기본제공
LG,5G,이츠 (25GB+/통화기본),24000,평생할인,36700,25(15+10),1,기본제공,기본제공
LG,LTE,10%적립 (7GB+/통화기본),17900,평생할인,,7,1,기본제공,기본제공
LG,LTE,10%적립 스페셜,34900,평생할인,,71(11GB+일 2GB),3,기본제공,기본제공
LG,5G,5G 스페셜,47300,평생할인,58700,150,5,기본제공,기본제공
LG,5G,GS25 (25GB+/100분),28900,평생할인,52800,25(15+10),3,100,100
LG,LTE,LTE (10GB/100분) [더알뜰플랜],8800,평생할인,11000,10,,100,100
LG,LTE,LTE (7GB+/통화기본) [더알뜰플랜2],15900,평생할인,18100,7,1,기본제공,기본제공
LG,LTE,시니어 (1GB+/100분),3900,평생할인,9300,1,4,100,100
LG,LTE,시니어 (2GB+/통화기본),6900,평생할인,19000,2,4,기본제공,기본제공
LG,5G,5G (14GB+/통화기본),33010,평생할인,42600,14,1,기본제공,기본제공
LG,5G,5G (31GB+/통화기본),36650,평생할인,48300,31,1,기본제공,기본제공
LG,5G,5G (4GB/통화기본),7800,평생할인,25300,4,,기본제공,기본제공
LG,5G,5G (5GB/200분),7900,평생할인,24200,5,,200,100
LG,5G,5G (5GB/통화기본),9900,평생할인,27700,5,,기본제공,기본제공
LG,LTE,LTE 스페셜 [더알뜰플랜2],32990,평생할인,35190,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,다성비 (1GB+/통화기본),10900,평생할인,26300,1,1,기본제공,기본제공
LG,LTE,데이터만 10GB,9900,평생할인,11000,10,,미제공,미제공
LG,LTE,자급제폰케어 (100GB+/통화기본),39490,평생할인,47900,100,5,기본제공,기본제공
LG,LTE,티머니 K-패스 (100GB+/통화기본),39200,평생할인,49100,100,5,기본제공,기본제공
LG,LTE,티머니 K-패스(7GB+/통화기본),16900,평생할인,26800,7,1,기본제공,기본제공
LG,LTE,10%적립 (1GB+/통화기본),10300,평생할인,,1,1,기본제공,기본제공
LG,LTE,GS25 (150GB+/통화기본),40100,평생할인,64000,150(일 5GB),5,기본제공,기본제공
LG,LTE,GS25 (71GB+/통화기본),34900,평생할인,58790,71(11GB+일 2GB),3,기본제공,기본제공
LG,5G,LTE (2.5GB+/200분),9500,평생할인,22500,2.5,1,200,100
